service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Instances 1  (Compute Engine),E2 Instance Core running in Jakarta,1460.0,asia-southeast2,6F81-5844-456A,621C-41D1-4D05,42.82347,
Instances 1  (Compute Engine),E2 Instance Ram running in Jakarta,5840.0,asia-southeast2,6F81-5844-456A,2526-CC04-D642,22.95397,
Instances 1  (Compute Engine),Balanced PD Capacity in Jakarta,75.0,asia-southeast2,6F81-5844-456A,7CD6-D519-82F7,9.75,
Instances (Compute Engine),E2 Instance Core running in Jakarta,730.0,asia-southeast2,6F81-5844-456A,621C-41D1-4D05,21.41174,
Instances (Compute Engine),E2 Instance Ram running in Jakarta,2920.0,asia-southeast2,6F81-5844-456A,2526-CC04-D642,11.47698,
Instances (Compute Engine),Balanced PD Capacity in Jakarta,50.0,asia-southeast2,6F81-5844-456A,7CD6-D519-82F7,6.5,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - vCPU in Jakarta,8.0,asia-southeast2,9662-B51E-5089,9318-73FC-60C5,10.3104,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - RAM in Jakarta,30.0,asia-southeast2,9662-B51E-5089,3491-8FE0-9709,6.552,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Standard storage in Jakarta,400.0,asia-southeast2,9662-B51E-5089,E969-FD43-DE2D,2.9063,
,,,,,,,
,,,,,Total Price:,134.68487,
,,,,,,,
"Prices are in US dollars, effective date is 2024-12-13T03:47:59.650Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVEyWXpjeFpUY3paaTFpWVRJM0xUUm1ZVGN0WVdWak9DMWpaamMzWW1WaE9Ea3pOVGtRQWc9PRokODEyODVFMkYtODFGNy00MTgxLTgwNTItQTAwRTVFMEY3RURG,,,,,,